,Total Gap,Fraction Electric Spending,Total Households,Households Poverty <2.5,Avg Total Energy Cost,Fraction Owners,Median Cost Burden,Median Cost Burden Poverty<2.5,Utility Number,Utility Name
0.0,923647.0,0.825663879751143,1785.0,981.0,2391.212890625,0.6140056022408964,5.71999979019165,11.430000305175781,55.0,City of Aberdeen - (MS)
1.0,8345902.0,0.7187867636487072,16442.0,7229.0,2653.173095703125,0.6377569638730082,4.914999961853027,10.220000267028809,84.0,A & N Electric Coop
2.0,8345902.0,0.7187867636487072,16442.0,7229.0,2653.173095703125,0.6377569638730082,4.914999961853027,10.220000267028809,84.0,A & N Electric Coop
3.0,9630114.0,0.6573003000896156,27807.0,9403.0,2707.286376953125,0.7903765238968605,4.239999771118164,9.390000343322754,108.0,Adams-Columbia Electric Coop
8.0,1451507.0,0.6304061176218742,4397.0,1344.0,2855.729736328125,0.772344780532181,4.139999866485596,9.470000267028809,155.0,Agralite Electric Coop
9.0,14209913.0,0.8788221963162869,39570.0,15902.0,2481.0205078125,0.747182208743998,4.199999809265137,9.420000076293945,162.0,Aiken Electric Coop Inc
10.0,107586.0,0.7757941236623045,767.0,291.0,1837.87939453125,0.6597131681877445,2.869999885559082,6.269999980926514,176.0,Ajo Improvement Co
11.0,447141536.0,0.8656437721738859,1101790.0,455030.0,2582.59130859375,0.6783760970783906,4.5,10.079999923706055,195.0,Alabama Power Co
12.0,2066661.0,0.6080916224691721,24868.0,5656.0,1831.159423828125,0.5025333762264758,1.9199999570846558,6.154999732971191,207.0,Alameda Municipal Power
13.0,1284285.0,0.49786045046401345,9995.0,2960.0,2137.257080078125,0.6669334667333667,2.359999895095825,5.670000076293945,213.0,Alaska Electric Light & Power Co.
14.0,5080463.0,0.5787394379551111,2672.0,1573.0,4877.23974609375,0.7271706586826348,9.680000305175781,18.389999389648438,219.0,Alaska Power and Telephone Co
15.0,24359932.0,0.7322491247488349,8822.0,5029.0,6556.60498046875,0.5970301518929948,10.449999809265137,18.479999542236328,221.0,"Alaska Village Elec Coop, Inc"
16.0,5671997.0,0.9021004000442947,25470.0,11060.0,1897.552001953125,0.5302316450726344,3.690000057220459,7.75,230.0,Albany Utility Board
17.0,1416863.0,0.8258617212482108,4280.0,2112.0,1980.973876953125,0.533411214953271,4.284999847412109,9.640000343322754,232.0,City of Albemarle - (NC)
18.0,4568837.0,0.8529983472715316,10641.0,3999.0,2729.548095703125,0.7147824452589042,4.570000171661377,10.350000381469727,240.0,Albemarle Electric Member Corp
